"pair_id","match_score","class","flags","kalshi_id","kalshi_title","kalshi_yes","kalshi_no","kalshi_close","poly_id","poly_title","poly_yes","poly_no","poly_close","raw_edge","human_label","human_note"
"1","1","check","source:check; deadline:check; interim_officeholder:check","KXNEXTROMANIAPM-45JAN01-MGEO","Will Mircea Geoană be the next Prime Minister of Romania? Mircea Geoană","0.24","1","2045-01-01T15:00:00Z","will-mircea-geoan-be-the-next-prime-minister-of-romania","Will Mircea Geoană be the next Prime Minister of Romania? Mircea Geoană","0.002","0.999","2026-12-31T00:00:00Z","-0.002","",""
"2","1","check","source:check; deadline:check; interim_officeholder:check","KXNEXTROMANIAPM-45JAN01-SGRI","Will Sorin Grindeanu be the next Prime Minister of Romania? Sorin Grindeanu","0.38","0.64","2045-01-01T15:00:00Z","will-sorin-grindeanu-be-the-next-prime-minister-of-romania","Will Sorin Grindeanu be the next Prime Minister of Romania? Sorin Grindeanu","0.357","0.645","2028-01-01T04:59:00Z","0.003","",""
"3","1","check","source:check; deadline:check; interim_officeholder:check","KXNEXTROMANIAPM-45JAN01-IDUM","Will Ionuț Dumitru be the next Prime Minister of Romania? Ionuț Dumitru","0.29","1","2045-01-01T15:00:00Z","will-ionu-dumitru-be-the-next-prime-minister-of-romania","Will Ionuț Dumitru be the next Prime Minister of Romania? Ionuț Dumitru","0.002","0.999","2028-01-01T04:59:00Z","-0.002","",""
"4","1","different?","source:check; deadline:check; interim_officeholder:material","KXNEXTISRAELPM-45JAN01-NBEN","Will Naftali Bennett be the next Prime Minister of Israel? Naftali Bennett","0.08","0.948","2045-01-01T15:00:00Z","will-naftali-bennett-be-the-next-prime-minister-of-israel","Will Naftali Bennett be the next Prime Minister of Israel? Naftali Bennett","0.11","0.91","2026-10-27T23:59:00Z","0.01","",""
"5","1","different?","source:check; deadline:check; interim_officeholder:material","KXNEXTISRAELPM-45JAN01-YCOH","Will Yossi Cohen be the next Prime Minister of Israel? Yossi Cohen","0.019","0.999","2045-01-01T15:00:00Z","will-yossi-cohen-be-the-next-prime-minister-of-israel","Will Yossi Cohen be the next Prime Minister of Israel? Yossi Cohen","0.003","0.998","2026-10-27T23:59:00Z","-0.002","",""
"6","1","different?","source:check; deadline:check; interim_officeholder:material","KXNEXTISRAELPM-45JAN01-ALIE","Will Avigdor Lieberman be the next Prime Minister of Israel? Avigdor Lieberman","0.092","0.995","2045-01-01T15:00:00Z","will-avigdor-lieberman-be-the-next-prime-minister-of-israel","Will Avigdor Lieberman be the next Prime Minister of Israel? Avigdor Lieberman","0.028","0.974","2026-10-27T23:59:00Z","-0.023","",""
"7","1","different?","source:check; deadline:material","KXPUTINZELENSKYYLOCATION-28-RUS","Will Putin and Zelenskyy meet next in Russia? Russia","0.08","0.94","2028-12-31T04:59:00Z","will-zelenskyy-and-putin-meet-next-in-russia","Will Zelenskyy and Putin meet next in Russia before 2027? Russia","0.011","0.996","2027-01-01T04:59:00Z","0.049","",""
"8","1","check","source:check; deadline:check; interim_officeholder:check","KXCEARAGOV-26OCT04-EFRE","Will Elmano de Freitas win the 2026 Ceará gubernatorial election? Elmano de Freitas","0.57","0.49","2027-10-04T14:00:00Z","will-elmano-de-freitas-win-the-2026-cear-gubernatorial-election","Will Elmano de Freitas win the 2026 Ceará gubernatorial election? Elmano de Freitas","0.56","0.46","2027-07-01T03:59:00Z","-0.03","",""
"9","1","check","source:check; deadline:check; interim_officeholder:check","KXCEARAGOV-26OCT04-CGOM","Will Ciro Gomes win the 2026 Ceará gubernatorial election? Ciro Gomes","0.52","0.58","2027-10-04T14:00:00Z","will-ciro-gomes-win-the-2026-cear-gubernatorial-election","Will Ciro Gomes win the 2026 Ceará gubernatorial election? Ciro Gomes","0.46","0.56","2027-07-01T03:59:00Z","-0.04","",""
"10","1","check","source:check; deadline:check","KXFRENCHPRES-27-EPHI","Will Édouard Philippe win the 2027 French presidential election? Édouard Philippe","0.22","0.8","2028-05-30T14:00:00Z","will-douard-philippe-win-the-2027-french-presidential-election","Will Édouard Philippe win the 2027 French presidential election? Édouard Philippe","0.24","0.77","2028-01-01T04:59:00Z","0.01","",""
